id;name;description;price;quantity;id_product;cart_id
1;Guapa Decoración Informática;feed;52606;15267;48412;1
2;ejecutiva Dinánmico Lado;Dominican;12618;45921;27407;2
3;Savings Facilitador Aruban;Director iniciativa e-tailers;85015;70395;164;1
4;Buckinghamshire value-added;Guantes;47041;82985;80523;2
5;gestión;Partida regional;96162;3389;25782;1
6;Genérico microchip;programming Ordenador Dollar;96575;99204;15579;1
7;bleeding-edge Borders;payment distributed Salud;6853;82617;25881;2
8;concepto Moda Soporte;Bolivia Auto;31300;1648;18801;2
9;Coordinador Credit;Morado;87629;44988;31295;1
10;Buckinghamshire Coche Jefe;Increible;7224;23412;83311;2
