GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Products,ar.edu.um.products.service.impl,ProductServiceImpl,118,0,0,0,24,0,7,0,7,0
Products,ar.edu.um.products.service.impl,DistributorServiceImpl,119,0,0,0,24,0,7,0,7,0
Products,ar.edu.um.products.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Products,ar.edu.um.products.domain,Distributor,87,60,5,7,30,18,17,12,14,9
Products,ar.edu.um.products.domain,Product,64,65,1,7,28,21,15,14,14,11
Products,ar.edu.um.products.domain,Authority,21,14,4,0,6,5,4,4,2,4
Products,ar.edu.um.products.domain,User,70,83,8,0,17,33,14,20,10,20
Products,ar.edu.um.products.domain,Product_,3,0,0,0,1,0,1,0,1,0
Products,ar.edu.um.products.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Products,ar.edu.um.products.domain,User_,3,0,0,0,1,0,1,0,1,0
Products,ar.edu.um.products.domain,Distributor_,3,0,0,0,1,0,1,0,1,0
Products,ar.edu.um.products.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Products,ar.edu.um.products.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Products,ar.edu.um.products.service.dto,DistributorDTO,14,60,1,5,7,20,4,11,3,9
Products,ar.edu.um.products.service.dto,ProductDTO,26,75,1,5,13,26,7,14,6,12
Products,ar.edu.um.products.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
Products,ar.edu.um.products.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Products,ar.edu.um.products.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Products,ar.edu.um.products,ProductsApp,146,0,10,0,34,0,11,0,6,0
Products,ar.edu.um.products,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Products,ar.edu.um.products.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Products,ar.edu.um.products.security,DomainUserDetailsService,107,0,4,0,23,0,10,0,8,0
Products,ar.edu.um.products.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Products,ar.edu.um.products.security,SecurityUtils,11,95,5,11,4,19,5,14,0,11
Products,ar.edu.um.products.service.mapper,DistributorMapperImpl,159,0,24,0,47,0,19,0,7,0
